date,home_team,score,away_team
19-09-2021,Valencia,1 - 2,Real Madrid
22-09-2021,Real Madrid,6 - 1,Mallorca
25-09-2021,Real Madrid,0 - 0,Villarreal
03-10-2021,Espanol,2 - 1,Real Madrid
24-10-2021,Barcelona,1 - 2,Real Madrid
27-10-2021,Real Madrid,0 - 0,Osasuna
30-10-2021,Elche,1 - 2,Real Madrid
06-11-2021,Real Madrid,2 - 1,Vallecano
21-11-2021,Granada,1 - 4,Real Madrid
28-11-2021,Real Madrid,2 - 1,Sevilla
01-12-2021,Real Madrid,1 - 0,Ath Bilbao
04-12-2021,Sociedad,0 - 2,Real Madrid
12-12-2021,Real Madrid,2 - 0,Ath Madrid
19-12-2021,Real Madrid,0 - 0,Cadiz
22-12-2021,Ath Bilbao,1 - 2,Real Madrid
02-01-2022,Getafe,1 - 0,Real Madrid
08-01-2022,Real Madrid,4 - 1,Valencia
23-01-2022,Real Madrid,2 - 2,Elche
06-02-2022,Real Madrid,1 - 0,Granada
12-02-2022,Villarreal,? - ?,Real Madrid
15-08-2021,Sevilla,3 - 0,Vallecano
23-08-2021,Getafe,0 - 1,Sevilla
28-08-2021,Elche,1 - 1,Sevilla
19-09-2021,Sociedad,0 - 0,Sevilla
22-09-2021,Sevilla,3 - 1,Valencia
25-09-2021,Sevilla,2 - 0,Espanol
03-10-2021,Granada,1 - 0,Sevilla
17-10-2021,Celta,0 - 1,Sevilla
24-10-2021,Sevilla,5 - 3,Levante
27-10-2021,Mallorca,1 - 1,Sevilla
30-10-2021,Sevilla,2 - 0,Osasuna
07-11-2021,Betis,0 - 2,Sevilla
20-11-2021,Sevilla,2 - 2,Alaves
28-11-2021,Real Madrid,2 - 1,Sevilla
04-12-2021,Sevilla,1 - 0,Villarreal
11-12-2021,Ath Bilbao,0 - 1,Sevilla
18-12-2021,Sevilla,2 - 1,Ath Madrid
21-12-2021,Sevilla,1 - 1,Barcelona
03-01-2022,Cadiz,0 - 1,Sevilla
09-01-2022,Sevilla,1 - 0,Getafe
19-01-2022,Valencia,1 - 1,Sevilla
22-01-2022,Sevilla,2 - 2,Celta
05-02-2022,Osasuna,0 - 0,Sevilla
11-02-2022,Sevilla,? - ?,Elche
15-08-2021,Barcelona,4 - 2,Sociedad
22-08-2021,Sociedad,1 - 0,Vallecano
28-08-2021,Sociedad,1 - 0,Levante
12-09-2021,Cadiz,0 - 2,Sociedad
19-09-2021,Sociedad,0 - 0,Sevilla
23-09-2021,Granada,2 - 3,Sociedad
26-09-2021,Sociedad,1 - 0,Elche
03-10-2021,Getafe,1 - 1,Sociedad
16-10-2021,Sociedad,1 - 0,Mallorca
24-10-2021,Ath Madrid,2 - 2,Sociedad
