title,author,length
The Checklist Manifesto,By: Atul Gawande,Length: 6 hrs and 9 mins
Predictably Irrational,By: Dan Ariely,Length: 7 hrs and 22 mins
Fall of Giants,By: Ken Follett,Length: 30 hrs and 38 mins
A Narrow Door,By: Joanne Harris,Length: 12 hrs and 53 mins
The Dark Forest,"By: Cixin Liu, Joel Martinsen - translator",Length: 22 hrs and 36 mins
Breaking the Habit of Being Yourself,By: Joe Dispenza,Length: 10 hrs and 49 mins
Small Great Things,By: Jodi Picoult,Length: 16 hrs and 14 mins
Cosmos,By: Carl Sagan,Length: 14 hrs and 31 mins
Den of Vipers,By: K.A. Knight,Length: 19 hrs and 19 mins
How to Begin,By: Michael Bungay Stanier,Length: 3 hrs and 12 mins
Messy Minimalism,"By: Rachelle Crawford, Denaye Barahona - foreword",Length: 4 hrs and 39 mins
Patterns in the Dark,By: Lindsay Buroker,Length: 9 hrs and 35 mins
Reaper,By: Will Wight,Length: 13 hrs and 7 mins
The Psychology of Selling,By: Brian Tracy,Length: 6 hrs and 18 mins
Stone of Tears,By: Terry Goodkind,Length: 38 hrs and 34 mins
Slow Burn Box Set,By: Bobby Adair,Length: 55 hrs and 16 mins
Reality Transurfing: Steps I-V,By: Vadim Zeland,Length: 36 hrs and 40 mins
The Testament,By: John Grisham,Length: 14 hrs and 33 mins
Shadow Princess,"By: Caroline Peckham, Susanne Valenti",Length: 21 hrs and 18 mins
Knife of Dreams,By: Robert Jordan,Length: 32 hrs and 19 mins
The Checklist Manifesto,By: Atul Gawande,Length: 6 hrs and 9 mins
Predictably Irrational,By: Dan Ariely,Length: 7 hrs and 22 mins
Fall of Giants,By: Ken Follett,Length: 30 hrs and 38 mins
A Narrow Door,By: Joanne Harris,Length: 12 hrs and 53 mins
The Dark Forest,"By: Cixin Liu, Joel Martinsen - translator",Length: 22 hrs and 36 mins
Breaking the Habit of Being Yourself,By: Joe Dispenza,Length: 10 hrs and 49 mins
Small Great Things,By: Jodi Picoult,Length: 16 hrs and 14 mins
Cosmos,By: Carl Sagan,Length: 14 hrs and 31 mins
Den of Vipers,By: K.A. Knight,Length: 19 hrs and 19 mins
How to Begin,By: Michael Bungay Stanier,Length: 3 hrs and 12 mins
Messy Minimalism,"By: Rachelle Crawford, Denaye Barahona - foreword",Length: 4 hrs and 39 mins
Patterns in the Dark,By: Lindsay Buroker,Length: 9 hrs and 35 mins
Reaper,By: Will Wight,Length: 13 hrs and 7 mins
The Psychology of Selling,By: Brian Tracy,Length: 6 hrs and 18 mins
Stone of Tears,By: Terry Goodkind,Length: 38 hrs and 34 mins
Slow Burn Box Set,By: Bobby Adair,Length: 55 hrs and 16 mins
Reality Transurfing: Steps I-V,By: Vadim Zeland,Length: 36 hrs and 40 mins
The Testament,By: John Grisham,Length: 14 hrs and 33 mins
Shadow Princess,"By: Caroline Peckham, Susanne Valenti",Length: 21 hrs and 18 mins
Knife of Dreams,By: Robert Jordan,Length: 32 hrs and 19 mins
The Checklist Manifesto,By: Atul Gawande,Length: 6 hrs and 9 mins
Predictably Irrational,By: Dan Ariely,Length: 7 hrs and 22 mins
Fall of Giants,By: Ken Follett,Length: 30 hrs and 38 mins
A Narrow Door,By: Joanne Harris,Length: 12 hrs and 53 mins
The Dark Forest,"By: Cixin Liu, Joel Martinsen - translator",Length: 22 hrs and 36 mins
Breaking the Habit of Being Yourself,By: Joe Dispenza,Length: 10 hrs and 49 mins
Small Great Things,By: Jodi Picoult,Length: 16 hrs and 14 mins
Cosmos,By: Carl Sagan,Length: 14 hrs and 31 mins
Den of Vipers,By: K.A. Knight,Length: 19 hrs and 19 mins
How to Begin,By: Michael Bungay Stanier,Length: 3 hrs and 12 mins
Messy Minimalism,"By: Rachelle Crawford, Denaye Barahona - foreword",Length: 4 hrs and 39 mins
Patterns in the Dark,By: Lindsay Buroker,Length: 9 hrs and 35 mins
Reaper,By: Will Wight,Length: 13 hrs and 7 mins
The Psychology of Selling,By: Brian Tracy,Length: 6 hrs and 18 mins
Stone of Tears,By: Terry Goodkind,Length: 38 hrs and 34 mins
Slow Burn Box Set,By: Bobby Adair,Length: 55 hrs and 16 mins
Reality Transurfing: Steps I-V,By: Vadim Zeland,Length: 36 hrs and 40 mins
The Testament,By: John Grisham,Length: 14 hrs and 33 mins
Shadow Princess,"By: Caroline Peckham, Susanne Valenti",Length: 21 hrs and 18 mins
Knife of Dreams,By: Robert Jordan,Length: 32 hrs and 19 mins
The Checklist Manifesto,By: Atul Gawande,Length: 6 hrs and 9 mins
Predictably Irrational,By: Dan Ariely,Length: 7 hrs and 22 mins
Fall of Giants,By: Ken Follett,Length: 30 hrs and 38 mins
A Narrow Door,By: Joanne Harris,Length: 12 hrs and 53 mins
The Dark Forest,"By: Cixin Liu, Joel Martinsen - translator",Length: 22 hrs and 36 mins
Breaking the Habit of Being Yourself,By: Joe Dispenza,Length: 10 hrs and 49 mins
Small Great Things,By: Jodi Picoult,Length: 16 hrs and 14 mins
Cosmos,By: Carl Sagan,Length: 14 hrs and 31 mins
Den of Vipers,By: K.A. Knight,Length: 19 hrs and 19 mins
How to Begin,By: Michael Bungay Stanier,Length: 3 hrs and 12 mins
Messy Minimalism,"By: Rachelle Crawford, Denaye Barahona - foreword",Length: 4 hrs and 39 mins
Patterns in the Dark,By: Lindsay Buroker,Length: 9 hrs and 35 mins
Reaper,By: Will Wight,Length: 13 hrs and 7 mins
The Psychology of Selling,By: Brian Tracy,Length: 6 hrs and 18 mins
Stone of Tears,By: Terry Goodkind,Length: 38 hrs and 34 mins
Slow Burn Box Set,By: Bobby Adair,Length: 55 hrs and 16 mins
Reality Transurfing: Steps I-V,By: Vadim Zeland,Length: 36 hrs and 40 mins
