title,author,length
Black Labyrinth,"By: Christopher Hopper, J.N. Chaney",Length: 11 hrs and 4 mins
The Fellowship of the Ring,By: J. R. R. Tolkien,Length: 22 hrs and 38 mins
Secrets of Our House,By: Rea Frey,Length: 9 hrs and 40 mins
Will,"By: Will Smith, Mark Manson",Length: 16 hrs and 16 mins
The God Is Not Willing,By: Steven Erikson,Length: 23 hrs and 13 mins
Baptism of Fire,By: Andrzej Sapkowski,Length: 11 hrs and 59 mins
Stan Lee's The Devil's Quintet: The Armageddon Code,"By: Stan Lee, Jay Bonansinga",Length: 10 hrs and 43 mins
Hero on a Mission,By: Donald Miller,Length: 5 hrs and 20 mins
Creatures of Light and Darkness,By: Roger Zelazny,Length: 5 hrs and 33 mins
Outliers,By: Malcolm Gladwell,Length: 7 hrs and 18 mins
The Two Towers,By: J. R. R. Tolkien,Length: 20 hrs and 46 mins
The Power of Habit,By: Charles Duhigg,Length: 10 hrs and 53 mins
The Lightning Thief,By: Rick Riordan,Length: 10 hrs and 2 mins
Blood of Elves,By: Andrzej Sapkowski,Length: 10 hrs and 55 mins
Principles,By: Ray Dalio,Length: 16 hrs and 5 mins
The Four Agreements,By: don Miguel Ruiz,Length: 2 hrs and 31 mins
The Gift of Fear,By: Gavin de Becker,Length: 12 hrs and 50 mins
The Power of Regret,By: Daniel H. Pink,Length: 5 hrs and 29 mins
Eragon,By: Christopher Paolini,Length: 16 hrs and 22 mins
Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
Start with Why,By: Simon Sinek,Length: 7 hrs and 18 mins
Deep Purpose,By: Ranjay Gulati,Length: 8 hrs and 56 mins
If the Tomb Is Empty,"By: Joby Martin, Charles Martin - contributor, Tim Tebow - foreword",Length: 8 hrs and 59 mins
Finlay Donovan Knocks 'Em Dead,By: Elle Cosimano,Length: 9 hrs and 20 mins
The Pariah,By: Anthony Ryan,Length: 19 hrs and 57 mins
A Feast for Crows,By: George R.R. Martin,Length: 33 hrs and 51 mins
The New Jim Crow,By: Michelle Alexander,Length: 16 hrs and 57 mins
Baggage,By: Alan Cumming,Length: 8 hrs and 37 mins
"Spies, Lies, and Algorithms",By: Amy B. Zegart,Length: 11 hrs and 54 mins
The Magic of Thinking Big,By: David Schwartz,Length: 9 hrs and 31 mins
Vanderbilt,"By: Anderson Cooper, Katherine Howe",Length: 8 hrs and 50 mins
Before We Were Yours,By: Lisa Wingate,Length: 14 hrs and 29 mins
A Dance with Dragons,By: George R.R. Martin,Length: 48 hrs and 55 mins
The Golden Enclaves,By: Naomi Novik,Length: 12 hrs
A Court of Wings and Ruin,By: Sarah J. Maas,Length: 25 hrs and 9 mins
Betrayal,By: Jonathan Karl,Length: 10 hrs and 32 mins
The Heroic Age Trilogy,By: Rob J. Hayes,Length: 44 hrs and 8 mins
The Sentence,By: Louise Erdrich,Length: 11 hrs and 49 mins
Local Woman Missing,By: Mary Kubica,Length: 11 hrs and 40 mins
The Purveli,By: Dianne Duvall,Length: 10 hrs and 59 mins
Artemis,By: Andy Weir,Length: 8 hrs and 57 mins
The One Year Bible NLT,By: Tyndale House Publishers,Length: 78 hrs and 36 mins
The Goodbye Coast,By: Joe Ide,Length: 12 hrs and 1 min
